back,dos
buffer_overflow,u2r
ftp_write,r2l
guess_passwd,r2l
imap,r2l
ipsweep,probe
land,dos
loadmodule,u2r
multihop,r2l
neptune,dos
nmap,probe
perl,u2r
phf,r2l
pod,dos
portsweep,probe
rootkit,u2r
satan,probe
smurf,dos
spy,r2l
teardrop,dos
warezclient,r2l
warezmaster,r2l
normal,normal
dos,dos
u2r,u2r
r2l,r2l
probe,probe
apache2,dos
mailbomb,dos
processtable,dos
mscan,probe
saint,probe
sendmail,r2l
named,r2l
snmpgetattack,r2l
snmpguess,r2l
xlock,r2l
xsnoop,r2l
worm,r2l
httptunnel,u2r
ps,u2r
sqlattack,u2r
xterm,u2r
udpstorm,dos
